"user_id","transactions_count","distinct_servers_count","transactions_size_mean","transactions_geodesic_distance_mean","transactions_iat_mean"
3874,6971,4196,3295,8655,35
3876,4,1,360990,0,262809
3879,32547,15209,1951,8693,69
3880,1,1,20617,0,2419200
3887,1,1,254734,6877,2419200
3888,1,1,3393,0,2419200
3889,34,2,242968,0,61943
3899,2534,810,814,7871,551
3918,15,1,1320440,0,149711
3920,55,1,2271,6877,2591
3923,1,1,2545,6877,2419200
3935,1,1,16826,0,2419200
3952,462,150,435,11747,3544
3971,1,1,198810,0,2419200
3972,5,1,1682403,0,191913
3977,357,314,580,8434,1002
3979,5,3,2494981,6877,415197
3980,3,3,39243,6877,259702
3993,2,2,3918,6877,535960
4013,19,19,4873,7951,16
4018,7,3,108470,2201,200394
4021,4,1,1709057,0,472125
4023,1,1,20913,6877,2419200
4038,8664,5051,3348,8637,158
4039,3,1,143380,0,179513
4041,1,1,97933,6877,2419200
4087,24,4,338,647,97392
4088,3,2,22209,0,316937
4097,1516,186,352,6890,71
4106,3,1,6038,0,489603
4125,3406,2416,4295,8735,650
4128,2856,1931,483,8668,41
4135,8317,422,368,6959,172
4139,101,1,455702,0,14698
4142,10184,2410,554,10592,220
4173,29,17,172,9858,42403
4181,1,1,26747,6877,2419200
4189,9,1,66376,0,139692
4200,6,1,624,0,118141
4202,18,1,2080,6877,10549
4204,6,1,1013757,6877,302302
4207,144,5,1019265,6304,11709
4212,162,2,558396,6877,14599
4214,16773,8587,2886,8520,124
4219,1,1,7357,6877,2419200
4229,1,1,266,6877,2419200
4243,4,2,537060,6877,430415
4244,1,1,254,6877,2419200
4249,1,1,208,6877,2419200
4258,8,1,886326,0,221178
4259,15,1,897,0,13123
4271,28205,10995,771,7927,71
4304,2,1,1405,0,23
4317,8,3,517103,6877,238326
4323,4,1,663912,6877,141753
4329,1,1,127052,0,2419200
4333,4,4,665,6877,261323
4335,87,1,617923,6877,24125
4352,3,1,34958,6877,115
4355,28,2,381888,6140,77986
4358,1,1,7843,6877,2419200
4367,4,1,5375,0,429727
4374,3,1,24278,0,586312
4379,20,1,220701,6877,109330
4383,7,1,143597,6877,208695
4386,12038,4146,704,8305,199
4389,1,1,43907,6877,2419200
4394,9,1,4970589,0,35839
4403,1461,1,530,9965,1707
4414,130,75,436,7660,17896
4421,1,1,1256,6877,2419200
4422,1407,1098,1473,8484,128
4427,7,1,56319,0,273185
4431,13543,7260,1696,8567,171
4445,1,1,2073,6877,2419200
4451,1,1,5745928,0,2419200
4452,1,1,1563,0,2419200
4471,9,1,842512,0,203579
4476,2,1,383,6877,154
4480,4,1,465,6877,0
4487,1,1,4489,6877,2419200
4489,5,1,90973,6877,349046
4492,1,1,649323,6877,2419200
4498,13166,3426,2288,7467,114
4526,574,493,6147,8947,362
4536,21,1,9249,6877,102536
4538,1,1,22079,0,2419200
4539,949,27,286,12572,2566
4546,9,1,252968,6877,211722
4552,2275,1489,423,8372,380
4577,25072,11996,561,8181,50
4583,6,2,54172,6877,16140
4595,8,1,65977,6877,187544
4608,350,314,1548,8080,1175
4611,1,1,5664353,0,2419200
4613,11,7,170,10152,53439
4624,3,1,89591,6877,565076
4650,6,1,1053645,6877,267002
4654,3,1,1402742,0,246705
4659,117,6,728266,529,18444
4670,69,7,123148,6877,31132
4671,87,2,523,316,9784
4673,1,1,2133,8857,2419200
4674,2,1,459,0,47839
4681,1,1,981,0,2419200
4683,205,2,472,570,676
4690,5,4,402459,1375,171201
4692,6951,419,347,6953,308
4698,5,2,2300,5502,309476
4706,7219,376,519,6987,311
4708,6082,3748,530,8637,392
4711,1544,1177,2659,8865,116
4725,1,1,195718,0,2419200
4731,35,2,1468419,0,57227
4732,48,13,553,10811,50671
4751,2,2,648,7768,8
4766,677,16,425,6877,929
4771,3,1,4664834,6877,350373
4782,16,1,369107,0,28157
4791,46,38,1027,8100,27
4799,2,1,2089,6877,3
4805,24,2,2087942,0,82426
4813,2,2,1135,6877,555589
4815,1,1,98137,6877,2419200
4818,9,2,756,1528,778
4823,30816,9224,875,8231,76
4825,21,1,623,0,44055
4826,4,1,18000,0,154292
4829,240,2,518,3524,171
4832,3,1,438576,0,460163
4847,1593,125,368,6885,1217
4850,1,1,105987,0,2419200
4855,2,2,630,6877,661
4878,20326,11324,2077,8534,15
4879,9,1,150029,0,193671
4880,1750,1374,1201,8513,100
4884,5679,3583,1611,8656,262
4902,2,1,343,6877,148
4915,5,1,2703166,0,311323
4931,1,1,19205,6877,2419200
4933,12,2,549,3439,721
4950,2,1,10046,6877,148300
4959,29,3,522413,543,78361
4964,131,1,246247,0,17965
4967,5,2,162838,6877,292905
4980,1,1,2174,0,2419200
4991,1,1,140432,0,2419200
4993,6,2,9430045,0,209919
4996,1,1,387639,0,2419200
5002,1,1,6311566,0,2419200
5018,5,1,36385,6877,282394
5020,16,1,1871,6877,151346
5057,3,2,277244,6877,583064
5086,318,3,286430,6877,7497
5088,5424,4063,883,8427,307
5095,26,12,1641,7014,81536
5102,2,1,71339,0,131851
5105,2,1,1530,6877,3751
5112,3,3,486633,6877,538124
5117,3,1,1311,6877,305
5134,1,1,4669,0,2419200
5162,13509,7304,2791,8630,101
5164,1,1,885477,6877,2419200
5184,10,1,1107,0,1993
5190,1362,1078,1755,8738,40
5197,2,1,27243,6877,305874
5224,4,1,67025,0,150914
5236,7,1,21497,0,283215
5237,4,1,327648,0,303608
5245,9466,5395,3464,8646,208
5256,5,1,58390,0,158990
5263,3,1,3103823,0,660716
5266,5,3,378,8666,1
5277,492,287,33116,12333,4534
5279,3,1,178331,6877,697578
5289,3,1,11695,6877,328352
5301,1,1,103225,6877,2419200
5306,17,1,693,0,15680
5312,38,1,1087778,0,25891
5319,109,74,7496,2417,1566
5327,6,1,741754,6877,315165
5353,3,2,6464,6877,291080
5358,1,1,226,0,2419200
5372,373,165,483,8391,7
5394,9552,5564,1349,8576,240
5405,2190,1387,6120,8565,39
5407,22,1,235711,6877,104606
5428,861,363,2614,2695,619
5433,15548,8350,2975,8583,40
5434,3,1,2672865,0,343104
5439,1792,1330,3295,8503,143
5441,73,1,476198,0,32163
5442,3,2,1300,6877,575808
5446,2,2,8912,6877,600758
5453,151,128,3761,8424,29
5461,3,1,39681,0,123171
5463,12228,6332,626,8309,52
5465,36,5,1178,6877,12495
5469,153,3,417429,6787,15801
5470,2,1,2745473,0,114
5473,12215,6649,3248,8547,199
5474,1,1,11992920,0,2419200
5485,21,2,89889,6877,104895
5489,2,2,1598109,6877,404851
5495,2,1,34746,6877,380813
5497,1,1,381,6877,2419200
5505,2634,1768,1663,8325,935
5519,5,1,207819,6877,134470
5546,33,13,489,7104,25501
5548,1,1,227,0,2419200
5549,2,1,404,6877,4357
5569,20740,12923,1063,8545,57
5627,1,1,227,0,2419200
5630,1,1,168,6877,2419200
5638,4405,291,357,6921,326
5646,31,2,514176,1331,77828
